,Survived,Pclass,Sex,Age,SibSp,Parch,Embarked
0,0,3,1,22.0,1,0,2
1,1,1,0,38.0,1,0,0
2,1,3,0,26.0,0,0,2
3,1,1,0,35.0,1,0,2
4,0,3,1,35.0,0,0,2
5,0,3,1,28.0,0,0,1
6,0,1,1,54.0,0,0,2
7,0,3,1,2.0,3,1,2
8,1,3,0,27.0,0,2,2
9,1,2,0,14.0,1,0,0
10,1,3,0,4.0,1,1,2
11,1,1,0,58.0,0,0,2
12,0,3,1,20.0,0,0,2
13,0,3,1,39.0,1,5,2
14,0,3,0,14.0,0,0,2
15,1,2,0,55.0,0,0,2
16,0,3,1,2.0,4,1,1
17,1,2,1,28.0,0,0,2
18,0,3,0,31.0,1,0,2
19,1,3,0,28.0,0,0,0
20,0,2,1,35.0,0,0,2
21,1,2,1,34.0,0,0,2
22,1,3,0,15.0,0,0,1
23,1,1,1,28.0,0,0,2
24,0,3,0,8.0,3,1,2
25,1,3,0,38.0,1,5,2
26,0,3,1,28.0,0,0,0
27,0,1,1,19.0,3,2,2
28,1,3,0,28.0,0,0,1
29,0,3,1,28.0,0,0,2
30,0,1,1,40.0,0,0,0
31,1,1,0,28.0,1,0,0
32,1,3,0,28.0,0,0,1
33,0,2,1,66.0,0,0,2
34,0,1,1,28.0,1,0,0
35,0,1,1,42.0,1,0,2
36,1,3,1,28.0,0,0,0
37,0,3,1,21.0,0,0,2
38,0,3,0,18.0,2,0,2
39,1,3,0,14.0,1,0,0
40,0,3,0,40.0,1,0,2
41,0,2,0,27.0,1,0,2
42,0,3,1,28.0,0,0,0
43,1,2,0,3.0,1,2,0
44,1,3,0,19.0,0,0,1
45,0,3,1,28.0,0,0,2
46,0,3,1,28.0,1,0,1
47,1,3,0,28.0,0,0,1
48,0,3,1,28.0,2,0,0
49,0,3,0,18.0,1,0,2
50,0,3,1,7.0,4,1,2
51,0,3,1,21.0,0,0,2
52,1,1,0,49.0,1,0,0
53,1,2,0,29.0,1,0,2
54,0,1,1,65.0,0,1,0
55,1,1,1,28.0,0,0,2
56,1,2,0,21.0,0,0,2
57,0,3,1,28.5,0,0,0
58,1,2,0,5.0,1,2,2
59,0,3,1,11.0,5,2,2
60,0,3,1,22.0,0,0,0
61,1,1,0,38.0,0,0,2
62,0,1,1,45.0,1,0,2
63,0,3,1,4.0,3,2,2
64,0,1,1,28.0,0,0,0
65,1,3,1,28.0,1,1,0
66,1,2,0,29.0,0,0,2
67,0,3,1,19.0,0,0,2
68,1,3,0,17.0,4,2,2
69,0,3,1,26.0,2,0,2
70,0,2,1,32.0,0,0,2
71,0,3,0,16.0,5,2,2
72,0,2,1,21.0,0,0,2
73,0,3,1,26.0,1,0,0
74,1,3,1,32.0,0,0,2
75,0,3,1,25.0,0,0,2
76,0,3,1,28.0,0,0,2
77,0,3,1,28.0,0,0,2
78,1,2,1,0.83,0,2,2
79,1,3,0,30.0,0,0,2
80,0,3,1,22.0,0,0,2
81,1,3,1,29.0,0,0,2
82,1,3,0,28.0,0,0,1
83,0,1,1,28.0,0,0,2
84,1,2,0,17.0,0,0,2
85,1,3,0,33.0,3,0,2
86,0,3,1,16.0,1,3,2
87,0,3,1,28.0,0,0,2
88,1,1,0,23.0,3,2,2
89,0,3,1,24.0,0,0,2
90,0,3,1,29.0,0,0,2
91,0,3,1,20.0,0,0,2
92,0,1,1,46.0,1,0,2
93,0,3,1,26.0,1,2,2
94,0,3,1,59.0,0,0,2
95,0,3,1,28.0,0,0,2
96,0,1,1,71.0,0,0,0
97,1,1,1,23.0,0,1,0
98,1,2,0,34.0,0,1,2
99,0,2,1,34.0,1,0,2
100,0,3,0,28.0,0,0,2
101,0,3,1,28.0,0,0,2
102,0,1,1,21.0,0,1,2
103,0,3,1,33.0,0,0,2
104,0,3,1,37.0,2,0,2
105,0,3,1,28.0,0,0,2
106,1,3,0,21.0,0,0,2
107,1,3,1,28.0,0,0,2
108,0,3,1,38.0,0,0,2
109,1,3,0,28.0,1,0,1
110,0,1,1,47.0,0,0,2
111,0,3,0,14.5,1,0,0
112,0,3,1,22.0,0,0,2
113,0,3,0,20.0,1,0,2
114,0,3,0,17.0,0,0,0
115,0,3,1,21.0,0,0,2
116,0,3,1,70.5,0,0,1
117,0,2,1,29.0,1,0,2
118,0,1,1,24.0,0,1,0
119,0,3,0,2.0,4,2,2
120,0,2,1,21.0,2,0,2
121,0,3,1,28.0,0,0,2
122,0,2,1,32.5,1,0,0
123,1,2,0,32.5,0,0,2
124,0,1,1,54.0,0,1,2
125,1,3,1,12.0,1,0,0
